Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total,
,Infrastructure & Investment,Business & Energy,Investment,Energy affordability,905,b,,,,905,
,Infrastructure & Investment,Business & Energy,Investment,Security of energy supply,129.3,b,,,,129.3,
,Infrastructure & Investment,Business & Energy,Investment,Other energy legacy,95.092,b,,,,95.092,
,Infrastructure & Investment,Business & Energy,Investment,Administration & central functions,45.801,b,,,,45.801,
,Infrastructure & Investment,Business & Energy,Investment,Competition and markets,34.481,b,,,,34.481,
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Support and develop farming,2173.182,b,,,,2173.182,
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Environment and biodiversity,892.273,b,,,,892.273,
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Departmental operating costs,574.862,b,,,,574.862,
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Animal and plant diseases,401.769,b,,,,401.769,
,Infrastructure & Investment,"Environment, Food & Rural",Day-to-day Spending,Flood protection,348.081,b,,,,348.081,
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Flood protection,883.487,b,,,,883.487,
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Departmental operating costs,313.036,b,,,,313.036,
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Environment and biodiversity,230.659,b,,,,230.659,
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Support and develop farming,85.4,b,,,,85.4,
,Infrastructure & Investment,"Environment, Food & Rural",Investment,Animal and plant diseases,23.025,b,,,,23.025,
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Public safety inc. Police,10232.711,b,,,,10232.711,
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Homeland security,1133.213,b,,,,1133.213,
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Central Home Office,870.799,b,,,,870.799,
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,"Borders, migration & passport/visa income",471.662,b,,,,471.662,
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,"Strategy, analysis & technology",97.55,b,,,,97.55,
,"Criminal Justice, Borders & Fire ",Home Office,Day-to-day Spending,Other,451.637,b,,,,451.637,
,"Criminal Justice, Borders & Fire ",Home Office,Investment,"Borders, migration & passport/visa income",411.881,b,,,,411.881,
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Homeland security,153.568,b,,,,153.568,
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Public safety inc. Police,131.137,b,,,,131.137,
,"Criminal Justice, Borders & Fire ",Home Office,Investment,"Strategy, analysis & technology",43.404,b,,,,43.404,
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Central Home Office,24.4,b,,,,24.4,
,"Criminal Justice, Borders & Fire ",Home Office,Investment,Other,126.137,b,,,,126.137,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Prisons and Probation,4702.68,b,,,,4702.68,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Courts and Tribunals,2025.502,b,,,,2025.502,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Legal Aid Agency,1908.498,b,,,,1908.498,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Central MOJ - policy & corporate strategy,200.904,b,,,,200.904,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Judicial salaries,165.763,b,,,,165.763,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Criminal Injuries Compensation Commission,137.879,b,,,,137.879,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Children & Family court services,135.821,b,,,,135.821,
,"Criminal Justice, Borders & Fire ",Justice,Day-to-day Spending,Other,132.66,b,,,,132.66,
,"Criminal Justice, Borders & Fire ",Justice,Investment,Prisons and Probation,1151.686,b,,,,1151.686,
,"Criminal Justice, Borders & Fire ",Justice,Investment,Courts and Tribunals,459.317,b,,,,459.317,
,"Criminal Justice, Borders & Fire ",Justice,Investment,Central MOJ - policy & corporate strategy,90.751,b,,,,90.751,
,"Criminal Justice, Borders & Fire ",Justice,Investment,Children & Family court services,5.622,b,,,,5.622,
,"Criminal Justice, Borders & Fire ",Justice,Investment,Legal Aid Agency,3.543,b,,,,3.543,
,"Criminal Justice, Borders & Fire ",Justice,Investment,Other,7,b,,,,7.346,
,Central Government,Cabinet Office,Day-to-day Spending,Delivery of HMG Programme & PM's priorities,566.856,b,,,,566.856,
,Central Government,Cabinet Office,Day-to-day Spending,Government efficiency and workforce,345.23,b,,,,345.23,
,Central Government,Cabinet Office,Day-to-day Spending,Central administration,196.032,b,,,,196.032,
,Central Government,Cabinet Office,Day-to-day Spending,Elections,84.4,b,,,,84.4,
,Central Government,Cabinet Office,Day-to-day Spending,"The Union, security & democracy",80.682,b,,,,80.682,
,Central Government,Cabinet Office,Day-to-day Spending,Arms length bodies,18.352,b,,,,18.352,
,Central Government,Cabinet Office,Day-to-day Spending,Government Property Agency,8.458,b,,,,8.458,
,Central Government,Cabinet Office,Investment,Government Property Agency,196.96,b,,,,196.96,
,Central Government,Cabinet Office,Investment,Delivery of HMG Programme & PM's responsibilities,177.27,b,,,,177.27,
,Central Government,Cabinet Office,Investment,Government efficiency and workforce,38.7,b,,,,38.7,
,Central Government,Cabinet Office,Investment,Central administration,12.64,b,,,,12.64,
,Central Government,Cabinet Office,Investment,"The Union, security & democracy",3.195,b,,,,3.195,
,Central Government,Treasury,Day-to-day Spending,Treasury administration,199.016,b,,,,199.016,
,Central Government,Treasury,Day-to-day Spending,Debt Management Office,23,b,,,,23,
,Central Government,Treasury,Day-to-day Spending,UK Government Investments,20.6,b,,,,20.6,
,Central Government,Treasury,Day-to-day Spending,Infrastructure Finance Unit Limited,17.984,b,,,,17.984,
,Central Government,Treasury,Day-to-day Spending,National Infrastructure Commission,5,b,,,,5,
,Central Government,Treasury,Day-to-day Spending,Office for Budget Responsibility,4.48,b,,,,4.48,
,Central Government,Treasury,Day-to-day Spending,Unallocated provision,3.5,b,,,,3.5,
,Central Government,Treasury,Day-to-day Spending,Government Internal Audit Agency ,2.725,b,,,,2.725,
,Central Government,Treasury,Day-to-day Spending,Banking & gifts registration service,2.13,b,,,,2.13,
,Central Government,Treasury,Day-to-day Spending,Other,1.063,b,,,,1.063,
,Central Government,Treasury,Investment,Treasury administration,6.663,b,,,,6.663,
,Central Government,Treasury,Investment,Debt Management Office,0.8,b,,,,0.8,
,Central Government,Treasury,Investment,Government Internal Audit Agency ,0.135,b,,,,0.135,
,Central Government,Treasury,Investment,National Infrastructure Commission,0.7,b,,,,0.7,
,Devolved Administrations,Scotland,Spending,Cash grant,20014.375,b,,,,20014.375,
,Devolved Administrations,Scotland,Spending,Payover of income tax to Scotland,11641.545,b,,,,11641.545,
,Devolved Administrations,Scotland,Spending,Scotland Office,10.85,b,,,,10.85,
,Devolved Administrations,Scotland,Spending,Boundary Comission,0.408,b,,,,0.408,
,Devolved Administrations,Wales,Spending,Cash grant,18249.783,b,,,,18249.783,
,Devolved Administrations,Wales,Spending,Wales Office,5.156,b,,,,5.156,
,Devolved Administrations,Wales,Spending,Payover of Welsh Rates of Income Tax to Welsh Consolidated Fund,2064.061,b,,,,2064.061,
,Devolved Administrations,Northern Ireland,Spending,Cash grant,21465.938,b,,,,21465.938,
,Devolved Administrations,Northern Ireland,Spending,N. Ireland Office,31.861,b,,,,31.861,
,Devolved Administrations,Northern Ireland,Spending,Commissions,3.165,b,,,,3.165,
Category,Level1,Level2,Level3,Level4,Budget,,GovXFer,State,Local,Total,
